,ds,y
9893,2019-05-13,72.35
9894,2019-05-14,72.53
9895,2019-05-15,73.09
9896,2019-05-16,74.7
9897,2019-05-17,73.94
9898,2019-05-20,73.21
9899,2019-05-21,72.94
9900,2019-05-22,71.94
9901,2019-05-23,68.37
9902,2019-05-24,67.98
9903,2019-05-27,67.98
9904,2019-05-28,70.19
9905,2019-05-29,70.64
9906,2019-05-30,69.55
9907,2019-05-31,66.78
9908,2019-06-01,63.16
9909,2019-06-03,63.16
9910,2019-06-04,63.56
9911,2019-06-05,62.14
9912,2019-06-06,62.77
9913,2019-06-07,64.1
9914,2019-06-10,64.31
9915,2019-06-11,63.56
9916,2019-06-12,61.66
9917,2019-06-13,63.28
9918,2019-06-14,63.13
9919,2019-06-17,62.56
9920,2019-06-18,63.35
9921,2019-06-19,62.85
9922,2019-06-20,65.44
9923,2019-06-21,65.99
9924,2019-06-24,65.16
9925,2019-06-25,66.24
9926,2019-06-26,66.85
9927,2019-06-27,66.78
9928,2019-06-28,67.52
9929,2019-07-01,65.1
9930,2019-07-02,62.72
9931,2019-07-03,63.53
9932,2019-07-04,63.62
9933,2019-07-05,64.23
9934,2019-07-08,64.89
9935,2019-07-09,64.3
9936,2019-07-10,66.41
9937,2019-07-11,67.64
9938,2019-07-12,66.65
9939,2019-07-15,66.86
9940,2019-07-16,65.87
9941,2019-07-17,63.67
9942,2019-07-18,60.7
9943,2019-07-19,61.04
9944,2019-07-22,61.96
9945,2019-07-23,62.28
9946,2019-07-24,63.83
9947,2019-07-25,63.47
9948,2019-07-26,62.46
9949,2019-07-29,62.29
9950,2019-07-30,62.55
9951,2019-07-31,64.07
9952,2019-08-01,62.9
9953,2019-08-02,61.12
9954,2019-08-05,59.32
9955,2019-08-06,58.63
9956,2019-08-07,55.03
9957,2019-08-08,56.29
9958,2019-08-09,57.37
9959,2019-08-12,57.13
9960,2019-08-13,59.9
9961,2019-08-14,57.86
9962,2019-08-15,57.37
9963,2019-08-16,59.0
9964,2019-08-19,59.79
9965,2019-08-20,59.03
9966,2019-08-21,60.6
9967,2019-08-22,59.81
9968,2019-08-23,58.64
9969,2019-08-26,58.64
9970,2019-08-27,58.44
9971,2019-08-28,60.42
9972,2019-08-29,60.59
9973,2019-08-30,61.04
9974,2019-09-02,58.55
9975,2019-09-03,57.93
9976,2019-09-04,60.68
9977,2019-09-05,62.7
9978,2019-09-06,61.28
9979,2019-09-09,63.99
9980,2019-09-10,64.67
9981,2019-09-11,63.02
9982,2019-09-12,60.76
9983,2019-09-13,61.25
9984,2019-09-16,68.42
9985,2019-09-17,65.59
9986,2019-09-18,64.29
9987,2019-09-19,64.25
9988,2019-09-20,65.23
9989,2019-09-23,64.66
9990,2019-09-24,64.13
9991,2019-09-25,62.41
9992,2019-09-26,62.08
9993,2019-09-27,62.48
9994,2019-09-30,60.99
9995,2019-10-01,60.06
9996,2019-10-02,57.92
9997,2019-10-03,58.01
9998,2019-10-04,59.13
9999,2019-10-07,59.46
10000,2019-10-08,58.14
10001,2019-10-09,59.7
10002,2019-10-10,59.08
10003,2019-10-11,60.59
10004,2019-10-14,58.81
10005,2019-10-15,59.19
10006,2019-10-16,59.3
10007,2019-10-17,59.35
10008,2019-10-18,59.96
10009,2019-10-21,58.95
10010,2019-10-22,60.5
10011,2019-10-23,60.52
10012,2019-10-24,61.71
10013,2019-10-25,62.06
10014,2019-10-28,60.39
10015,2019-10-29,61.05
10016,2019-10-30,60.22
10017,2019-10-31,59.3
10018,2019-11-01,60.17
10019,2019-11-04,62.52
10020,2019-11-05,62.72
10021,2019-11-06,62.11
10022,2019-11-07,62.6
10023,2019-11-08,62.0
10024,2019-11-11,62.58
10025,2019-11-12,62.19
10026,2019-11-13,62.27
10027,2019-11-14,62.46
10028,2019-11-15,63.32
10029,2019-11-18,62.82
10030,2019-11-19,62.37
10031,2019-11-20,63.8
10032,2019-11-21,64.99
10033,2019-11-22,64.83
10034,2019-11-25,64.67
10035,2019-11-26,64.82
10036,2019-11-27,65.03
10037,2019-11-28,64.68
10038,2019-11-29,64.5
10039,2019-12-02,63.2
10040,2019-12-03,62.95
10041,2019-12-04,65.25
10042,2019-12-05,65.67
10043,2019-12-06,66.5
10044,2019-12-09,66.44
10045,2019-12-10,66.57
10046,2019-12-11,65.37
10047,2019-12-12,66.67
10048,2019-12-13,67.44
10049,2019-12-16,68.04
10050,2019-12-18,69.12
10051,2019-12-19,69.7
10052,2019-12-20,68.66
10053,2019-12-23,67.49
10054,2019-12-24,69.26
10055,2019-12-26,69.26
10056,2019-12-27,68.91
10057,2019-12-30,68.3
10058,2019-12-31,67.77
